"","V1","V2"
"1",0.685420063788642,0.765444521461862
"2",0.205167056449806,0.8416788854088
"3",0.451976636282984,0.513483315331311
"4",0.326684162476189,0.398815331732202
"5",0.516986517888183,0.55610900287082
"6",0.190014249848133,0.439166347979209
"7",0.578965296221875,0.608517579484408
"8",0.407977106412123,0.444674729226503
"9",0.346718018948797,0.408072192215131
"10",0.312540301241796,0.360488340124273
"11",0.617625211539253,0.732163974501816
"12",0.321504907328486,0.421691820656999
"13",0,0.85401436310898
"14",0.717816690422188,0.842609943502056
"15",0.608724579158087,0.693132007059635
"16",0.669902073172948,0.786145005605825
"17",0.559418392585902,0.662264085190037
"18",0.38513939039324,0.436699219727009
"19",0.393877813256197,0.473610878279534
"20",0.290318873973588,0.481097594525139
"21",0.517146677724342,0.585053275580209
"22",0.444470853165781,0.522451492936954
"23",0.386969112508288,0.432180604695969
"24",0.577522661321347,0.657262013447314
"25",0,0.841706638569233
"26",0.655902654591243,0.72761592269844
"27",0,0.887358324989522
"28",0.629372156531449,0.689327832652405
"29",0.497026307644968,0.539227490779142
"30",0.186758632052908,0.517140882356527
"31",0.60026948005879,0.771660726572221
"32",0.286589548802147,0.390186713366473
"33",0,0.845789384575174
"34",0.672984772934912,0.725586258412012
"35",0.452513017298783,0.512842428146208
"36",0.505147743150309,0.532430375893161
"37",0.628904874602631,0.667039960931602
"38",0.448419563043265,0.517733433416519
"39",0.637229459213705,0.709333761509379
"40",0.666773853305614,0.726324227878319
"41",0.463780058184883,0.536219941815118
"42",0.422356806263085,0.470178467672193
"43",0.252661087886042,0.338230129308771
"44",0.594880225309102,0.628421717296203
"45",0.211164356531741,0.378305149000378
"46",0.215834368979462,0.571024725064162
"47",0.200933830134602,0.561601929984055
"48",0.451670537592666,0.513849052973441
"49",0.602179598579335,0.625974511504041
"50",0.401195259377041,0.458593195527739
